DateTime,Parameter A,Parameter B,Parameter C,Parameter D,Parameter E,Parameter F,Parameter G
124,6.55,-1.77,-1.07,-7.51,-0.46,-3.91,0.7
125,6.03,-3.08,-1.22,-7.59,-2.05,-3.82,-1.57
126,4.89,-4.1,-2.49,-5.02,-2.87,-2.63,-2.37
127,3.75,-4.95,-3.71,-1.51,-3.57,-1.2,-3.88
128,2.54,-5.52,-4.04,3.3,-7.02,-0.54,-4.12
129,1.25,-5.88,-4.11,5.96,-8.22,-0.28,-5.58
130,-0.11,-6.05,-2.64,7.57,-10.66,-0.38,-5.66
131,-1.84,-5.78,-1.14,9.13,-9.07,-0.76,-4.57
132,-3.63,-5.13,0.9,9.21,-9.77,-2.48,-3.26
133,-4.58,-4.26,1.77,9.43,-6.89,-3,-1.14
134,-4.83,-3.13,1.46,9.52,-4.92,-1.36,2.39
135,-4.88,-1.82,0.85,9.58,-3.22,-0.58,3.24
136,-4.8,-0.35,0.94,9.55,-1.87,-1.05,4.33
137,-3.94,0.83,1.46,7.29,0.17,-2.01,4.63
138,-1.39,1.62,2.26,3.69,0.92,0.23,5.39
139,1.7,1.52,3.02,0.34,1.25,0.05,5.22
140,4.57,1.12,3.98,-0.99,0.91,1.04,3.54
141,4.91,0.23,3.89,-2.24,0.95,-2.34,3.42
142,3.5,-1.07,3.17,-2.45,1.05,-4.35,2.63
143,2.56,-2.59,1.71,-2.67,0.91,-4.23,1.84
144,2.69,-3.88,0.43,-2.8,0.35,-2.64,0.82
145,2.46,-4.77,-0.64,-3.91,-0.31,-0.85,-0.72
146,0.96,-5.41,-1.21,-3.93,-1.86,-0.98,-2.25
147,-1.81,-5.24,-1.59,-3.93,-2.09,-2.37,-3.94
148,-3.88,-4.74,-2.57,-1.73,-2.73,-3.2,-2.94
149,-4.6,-3.65,-2.89,0.56,-2.74,-3.75,-2.09
150,-5.12,-2.28,-2.95,2.02,-2.35,-3.32,-1.91
151,-5.19,-0.75,-2.78,2.66,-2.53,-1.03,-0.62
152,-4.25,0.62,-2.39,2.95,-1.09,0.95,0.02
153,-2.87,1.77,-2.73,3.02,-1.19,0.79,1.07
154,-1.36,2.52,-2.67,3.19,-0.41,0.32,1.96
155,1.01,2.63,-1.99,3.18,0.28,-0.87,3.03
156,3.94,2.18,-1.04,3.17,0.92,-2.16,3.16
157,5.66,0.97,-0.36,3.18,1.26,-1.98,3.16
158,6.06,-0.42,-0.43,3.31,1.35,-0.51,3.05
159,5.14,-2.4,-0.54,3.26,0.98,-1.89,2.15
160,3.35,-4.43,-0.91,3.31,0.64,-1.62,1.27
161,0.94,-6.1,-0.67,3.29,0.3,-3.06,-0.49
162,-1.07,-7.21,-0.34,3.3,-0.79,-2.31,-1.8
163,-2.21,-7.68,0.53,3.32,-0.77,-2.26,-2.02
164,-2.68,-7.46,1.7,3.29,-0.54,-0.83,-1.75
165,-2.76,-6.83,2.98,3.3,-0.01,-1.02,-0.02
166,-2.84,-5.51,4.05,3.29,0.15,-2.48,1.11
167,-2.93,-3.77,3.96,3.31,1.28,-0.67,2.2
168,-2.94,-2.15,3.84,3.34,1.3,-2.15,1.96
169,-2.6,-0.55,3.16,3.31,1.72,-1.8,2.6
170,-2.28,0.58,1.88,3.32,1.58,-1.36,2.95
171,-2.18,1.58,0.57,3.36,1.6,-0.85,2.24
172,-1.73,2,-0.31,3.3,0.87,0.57,0.86
173,-0.68,1.76,-0.08,3.31,0.6,-0.74,0.06
174,-0.2,1.01,-1.03,3.29,-0.1,-3.18,-0.98
175,-0.23,-0.24,-1.65,3.26,-0.51,-2.74,-1.11
176,-0.81,-1.75,-2.43,3.07,-0.91,-3.42,-1.51
177,-2.27,-3.05,-3.22,0.56,-2.07,-1.3,-2.31
178,-3.88,-4.01,-3.88,-2.5,-1.85,-0.95,-2.6
179,-4.65,-4.27,-3.58,-4.74,-2.4,-1.3,-2.88
180,-4.42,-4.05,-2.86,-6.98,-1.98,-2.56,-2.32
181,-3.33,-3.39,-1.61,-8.36,-1.77,-2.25,-0.64
182,-2.7,-2.35,-1.03,-8.87,-1.24,-1.72,0
183,-2.35,-1.01,-0.53,-9.39,-1.62,-1.89,0.55
184,-1.03,0,-0.86,-9.79,-0.52,-2.75,0.7
185,0.48,1.15,-1.73,-10.14,-0.03,-1.85,3.16
186,1.97,1.93,-2.82,-10.42,0.53,-0.27,2.84
187,4.25,2.56,-3.4,-10.41,0.35,1.7,2.56
188,6.43,2.33,-2.65,-10.57,0.92,2.22,2.2
189,8.67,1.76,-0.2,-10.23,0.8,1.8,2.7
190,9.71,0.31,2.39,-7.1,0.74,-0.51,1.61
191,8.66,-1.68,3.66,-2.77,-0.83,-2.77,-1.45
192,6.1,-3.65,3.17,2.07,-1.75,-5.44,-2.23
193,1.73,-5.25,1.74,5.95,-3.76,-5.96,-4.22
194,-2.26,-6.32,-0.28,8.27,-6.29,-2.11,-5.08
195,-4.46,-6.45,-1.14,9.79,-4.99,-1.05,-4.22
196,-6.57,-5.97,-0.32,10.36,-4.63,-1.92,-2.7
197,-8.64,-4.26,1.36,11.26,-2.89,-1.08,-1.13
198,-9.1,-2.24,3.13,11.34,-2.1,-0.16,2.22
199,-7.51,0.03,3.94,9.08,-0.74,-2.97,2.79
200,-4.33,2,3.06,4.89,-0.02,-2.77,4.27
201,-1.6,3.45,1.72,0.61,1.71,-2.33,4.05
202,0.97,4.18,-0.38,-2.29,1.72,0.5,5.4
203,3.9,4.2,-1.61,-2.97,1.47,-0.4,4
204,5.97,3.32,-1.81,-4.39,1.04,0.31,2.52
205,6.3,1.64,-1.81,-4.71,0.87,-1.42,1.21
206,5.85,-0.66,-2.48,-4.84,0.3,-2.16,-0.73
207,5.67,-2.77,-2.29,-5.04,-0.69,-1.74,-0.72
208,5.43,-4.99,-2.43,-5.12,-2.51,-2.72,-3.85
209,5.01,-6.29,-1.95,-3.25,-4.89,-2.96,-5.16
210,3.64,-7.1,-1.15,0.66,-4.52,-1.55,-5.33
211,1.71,-7,-1.07,4.49,-7.49,-2.85,-4.63
212,-1.19,-6.14,-1.58,5.82,-9.3,-2.45,-4.48
213,-3.22,-4.62,-1.91,7.12,-12.01,-1.87,-5.35
214,-3.6,-2.83,-2.44,7.64,-9.63,-1.32,-5.02
215,-3.34,-1.1,-1.87,7.85,-8.75,-0.73,-1.61
216,-2.83,0.44,-1.33,8.04,-6.03,-1.5,0.11
217,-1.86,1.86,-0.67,8.12,-2.84,0.25,4.35
218,-0.36,2.23,0.25,8.2,-0.52,0.62,5.2
219,1.27,2.47,0.54,8.2,1.32,0.63,5.99
220,2.56,1.71,1.51,8.34,2.72,-0.98,6.92
221,3.05,0.56,2.23,8.35,2.56,-1.55,6.12
222,2.51,-1.05,2.98,8.5,2.57,-1.77,6.09
223,1.03,-3.17,3.44,8.53,1.92,-0.65,2.8
224,-0.72,-4.77,3.28,8.56,1.85,-2.38,1.63
225,-1.55,-5.9,2.91,7.23,2.31,-2.68,1.83
226,-1.67,-6.42,2.43,4.01,1.55,-4.59,0.97
227,-2.04,-6.26,1.38,0.33,1.18,-5.35,-0.15
228,-2.59,-5.67,-0.16,-2.24,0.13,-3.8,-1.31
229,-2.92,-4.47,-1.72,-2.82,-0.76,-1.24,-3.48
230,-3.63,-2.9,-2.71,-4.15,-3.34,-0.88,-4.22
231,-4.31,-1.14,-3.29,-4.41,-3.85,0.32,-4.35
232,-3.84,0.6,-3.7,-4.51,-3.57,-1.43,-2.55
233,-2.43,1.98,-3.53,-4.81,-2.7,-0.36,-2.47
234,-0.33,3.1,-3.02,-4.82,-2.05,-0.36,-0.39
235,2.14,3.37,-2.29,-4.94,-1.91,0.99,0.14
236,4.39,2.72,-1.37,-4.94,-1.9,1.29,0.69
237,5.69,1.44,-1.13,-4.95,-2.38,-0.61,-0.04
238,6.35,-0.03,-0.14,-4.93,-2.41,-1.76,-0.43
239,5.79,-1.96,0.47,-4.86,-2.39,-2.72,-0.41
240,4.09,-3.89,0.03,-2.48,-2.97,-4.31,-0.33
241,1.66,-5.44,-1.17,1.22,-3.39,-3.24,-1.33
242,-0.82,-6.38,-2.25,4.81,-4.01,-3.16,-1.24
243,-2.84,-6.42,-2.36,6.6,-5.21,-3.02,-2.16
244,-3.73,-6.02,-2.4,7.28,-5.44,-1.39,-1.82
245,-3.36,-5.33,-2.05,7.77,-5.83,-0.13,-2.18
246,-2.76,-4.12,-1.13,7.87,-4.8,0.85,-1.37
247,-2.73,-2.85,-0.41,7.97,-2.12,2.2,2.46
248,-3.04,-1.62,0.84,8.01,-0.2,-1.36,4.31
249,-3.07,-0.52,1.33,8.13,2.01,-1.47,5.24
250,-2.04,0.25,2.1,7.73,2.48,-2.93,6.51
251,-0.58,0.29,2.08,5.38,3.27,-3.28,6.07
252,0.45,0.29,2.16,2.33,3.05,-2.63,5.88
253,1.42,0.22,1.52,0.28,2.77,-1.24,2.89
254,2.27,-0.28,0.6,-0.45,2.44,-0.79,2.7
255,2.99,-1.23,-0.33,-0.84,2.22,0.43,0.19
256,2.62,-2.15,-0.22,-1.42,1.53,0.38,-0.52
257,1.54,-3,-0.31,-1.55,0.63,-0.78,-2.3
258,0.17,-3.52,-0.3,-1.86,-1.47,-2.42,-2.73
259,-0.51,-3.7,-0.02,-2.16,-1.06,-4.21,-3.11
260,-1.06,-3.63,-0.37,-2.18,-2.3,-3.8,-3.12
261,-2.02,-3.15,-1.47,-2.33,-3.07,-1.32,-3.18
262,-2.62,-2.33,-2.39,-2.27,-3.88,-1.03,-3.18
263,-2.22,-1.29,-2.58,-2.24,-4.28,0.38,-3.63
264,-0.84,-0.54,-2.79,-2.28,-5.34,0.76,-4.52
265,0.63,0.32,-2.66,-2.25,-5.28,-0.85,-3.43
266,1.23,0.63,-2.72,-2.27,-4.34,-1.74,-1.28
267,1.36,0.34,-3.23,-2.28,-3.23,-2.07,-0.03
268,1.81,0.42,-3.04,-2.25,-2.3,-1.75,1.55
269,2.08,-0.3,-3.17,-2.31,-2.41,-0.96,1.85
270,2.44,-0.96,-2.45,-1.89,-1.38,0.65,2.04
271,3.25,-2.02,-1.08,1.27,-0.16,0.2,2.75
272,3.57,-3.22,0.51,4.79,0.44,-0.27,3.3
273,2.71,-4.24,3.07,7.01,-0.18,-2.57,3.21
274,1.05,-5.24,4.22,7.77,-0.2,-2.74,1.64
275,-0.31,-5.8,4.6,8.14,-0.53,-3.25,1.42
276,-1.48,-5.93,4.42,9.03,-0.08,-3.18,1.4
277,-2.88,-5.61,4.31,9,-0.92,-3.77,0.54
278,-4.63,-4.74,3.41,9.21,-0.53,-4.63,0.62
279,-5.47,-3.39,1.82,9.21,-1.13,-4.53,-0.2
280,-4.5,-2.03,0.6,9.17,-1.8,-2.47,-0.14
281,-2.87,-0.51,-1.12,9.17,-1.36,-0.17,-0.02
282,-0.86,0.2,-1.88,6.96,-1.62,0.13,0
283,0.71,1.02,-2.12,4,-1.35,1.55,-0.06
284,1.8,1.29,-1.78,2.2,-1.23,-1.1,-0.34
285,2.54,0.84,-1.06,0.97,-2.11,-2.81,-0.91
286,2.28,0.07,-1.02,0.03,-2.58,-2.72,-0.43
287,0.95,-0.67,-1.74,0.05,-2.86,-1.17,-1.25
288,-0.41,-1.72,-2.31,-0.27,-4.74,1.07,-2.15
289,-1.31,-2.69,-2.24,-0.39,-6.1,-0.01,-3.59
290,-2.01,-3.42,-1.51,-0.82,-8.22,-1.93,-3.76
291,-2.8,-3.74,-1.17,-1.32,-6.62,-3.31,-3.65
292,-3,-3.72,-1.15,-1.28,-6,-4.49,-0.94
293,-2.1,-3.46,-1.96,-1.35,-4.27,-3.03,-0.01
294,-0.97,-2.91,-2.66,-1.39,-2.77,-1.32,2.25
295,-0.58,-2.31,-2.34,-1.38,-2.41,0.08,3.32
296,-0.75,-1.68,-2.03,-1.41,-1.15,1.12,2.96
297,-1.15,-1.2,-1.08,-1.43,-0.83,-1.51,2.72
298,-1.61,-0.96,-0.39,-1.44,-0.27,-3.11,2.56
299,-1.76,-0.73,-0.41,-1.47,0.32,-2.71,2.75
300,-1.17,-0.41,-0.23,-1.44,1.17,-3.82,4.1
301,-0.64,-0.54,-1.21,-1.47,1.08,-1.27,3.38
302,-0.22,-0.37,-1.57,-1.44,1.6,0,2.86
303,0.29,-0.27,-1.75,-1.4,1.37,1.19,2.83
304,1.59,-0.49,-1.91,-1.46,1.68,0.7,2.07
305,4.28,-0.71,-0.93,-1.45,1.42,-0.18,1.84
306,6.18,-1.21,0.57,-1.43,1.08,-3.39,0.47
307,5.87,-1.71,1.85,-1.41,0.2,-1.68,0.25
308,4.43,-2.47,2.17,-1.4,-1.4,-2.41,-1.52
309,3.44,-2.97,1.38,-1.31,-2.95,-2.31,-3.88
310,2.89,-3.45,0.43,0.99,-3.24,-2.01,-3.66
311,1.4,-3.77,0.87,4.78,-3.2,-2.69,-3.05
312,-0.38,-3.68,1.5,6.9,-4.5,-2.74,-3.38
313,-1.38,-3.43,0.8,7.74,-4.87,-1.77,-3.73
314,-1.34,-3.17,0.62,8.16,-5.47,-0.41,-2.54
315,-0.84,-2.7,-0.69,8.96,-5.4,-0.81,-2.14
316,0.21,-2.19,-1.25,9.16,-5.55,-2.16,-2.38
317,1.13,-1.68,-1.82,9.11,-4.56,-3.14,-1
318,0.98,-1.46,-2.75,9.1,-5.2,-2.97,0.15
319,0.61,-1.45,-3.62,9.09,-4.22,-0.85,0.1
320,0.34,-1.91,-4.01,9.04,-3.57,-0.31,1.67
321,-0.01,-2.22,-3.21,9.02,-3.4,-0.32,1.32
322,-0.95,-2.66,-1.27,9.03,-2.56,-2.23,1.92
323,-2.56,-3.09,0.48,8.97,-2.19,-3.09,2.18
324,-4.63,-3.36,0.76,8.98,-1.65,-1.81,2.72
325,-5.45,-3.4,0.56,7.65,-1.16,-1.69,2.36
326,-4.26,-2.83,-0.27,4.11,-0.34,0.47,2.72
327,-2.91,-2.48,-0.35,-0.02,0.68,-2.58,3.33
328,-1.99,-1.79,0.67,-2.55,2.17,-3.36,4.86
329,-1.39,-0.93,1.4,-4.45,2.04,-2.89,4.83
330,-0.12,-0.34,1.93,-4.8,1.91,-0.85,3.74
331,0.9,0.12,1.46,-5.12,2.04,0.03,2.87
332,1.75,0.29,0.58,-5.9,1.87,1.09,1.62
333,2.89,0.34,0.62,-6.17,1.94,0.03,1.55
334,3.32,0,1.03,-6.34,1.48,-2.12,0.7
335,3.99,-0.51,1.93,-6.33,1.33,-2.91,0.12
336,4.39,-1.18,2.15,-5.72,0.7,-2.62,-0.91
337,4.18,-2.15,1.46,-1.99,-1.29,-1.37,-2.42
338,3.46,-2.96,0.25,2.2,-2.71,-1.16,-3.45
339,1.97,-3.73,-1.24,6.17,-5.64,-1.92,-4.59
340,0.48,-4.03,-2.32,8.71,-6.08,-0.55,-5.17
341,-0.66,-4.19,-2.29,10.23,-6.95,-1.01,-4.82
342,-1.38,-4.17,-1.28,11.32,-7.46,-1.43,-4.52
343,-2.25,-4.14,-0.88,11.44,-6.89,-2.56,-3.36
344,-3.29,-3.82,-0.38,11.58,-7.06,-2.74,-2.07
345,-4.12,-3.3,-1.24,11.66,-4.4,-3.22,0.62
346,-4.84,-2.77,-1.98,11.68,-3.32,-3.69,2.32
347,-5.45,-2.08,-3.45,11.13,-1.43,-1.97,3.55
348,-4.74,-1.27,-3.2,7.8,-0.58,-0.99,4.32
349,-3.54,-0.56,-1.9,3.47,0.77,-0.2,4.47
350,-1.59,-0.25,-0.83,-0.32,1.02,-2.14,5.22
351,-0.05,0.24,0.44,-2.51,1.14,-2.32,4.47
352,0.95,0.17,0.72,-3.65,0.79,-1.73,2.94
353,1.77,0.4,-0.14,-4.41,0.55,-0.81,2.72
354,2.15,-0.11,-1.02,-4.52,0.49,-2.66,0.78
355,2.56,-0.85,-1.98,-4.86,-0.02,-2.12,0.73
356,2.92,-1.31,-1.94,-4.93,-0.41,-0.4,-0.36
357,2.77,-1.98,-1.88,-5.05,-0.47,1.18,-0.59
358,2.1,-2.55,-1.04,-5.11,-0.62,-0.46,-0.97
359,0.98,-2.88,-0.27,-3.64,-0.71,-1.77,-0.54
360,-0.2,-2.91,0.6,0.46,-0.01,-3.3,0.63
361,-0.85,-2.78,1.07,2.98,0.05,-3.77,0.54
362,-1.21,-2.6,1.37,4.59,-0.41,-2.58,0.44
363,-0.8,-2.12,1.73,5.3,0.04,-0.49,0.46
364,-0.5,-1.85,1.72,5.61,0.58,-1.02,1.35
365,-0.26,-1.45,1.72,6.33,-0.06,-1.68,1.24
366,-0.44,-1.29,1.01,6.25,0.44,-2.07,0.99
367,-0.95,-1.3,-0.36,6.42,-0.37,-1.67,0.54
368,-1.19,-1.61,-1.08,6.44,-0.79,-1.75,0.01
369,-0.26,-1.83,-0.8,6.4,-1.55,-1.13,-1.1
370,1.21,-2.11,0.47,6.38,-1.4,-1.34,-1.22
371,2.34,-2.61,1.21,6.4,-1.46,-1.65,-0.59
372,2.02,-3.28,0.74,6.36,-1.76,-3.32,-0.73
373,0.75,-4.02,-0.15,6.39,-1.4,-4.65,-0.24
374,-0.98,-4.35,-2.12,6.35,-2.09,-4.83,-0.32
375,-2.27,-4.74,-3.59,6.37,-1.78,-3.06,-0.71
376,-3.22,-4.41,-4.87,6.42,-1.93,0.01,-0.54
377,-4.48,-3.87,-4.81,6.39,-1.61,0.99,-0.65
378,-4.95,-3.21,-3.52,6.41,-1.53,0.79,0.08
379,-4.77,-2.19,-1.98,5.55,-1.1,-0.07,0.83
380,-4.41,-1.23,-0.43,2.26,-0.84,-2.89,1.47
381,-3.8,-0.21,1.19,-0.7,-0.43,-0.99,1.62
382,-2.95,0.5,1.51,-2.73,0.29,-1.58,2.02
383,-1.71,0.95,1.82,-4.33,1.17,-0.85,3.47
384,-0.54,1,2.01,-4.59,1.19,-0.15,3.99
385,0.14,0.78,2.43,-4.8,1.26,-1.64,3.51
386,0.28,0.28,1.92,-5.05,0.43,-1.26,0.99
387,0.31,-0.52,1.29,-5.69,0.09,-1.92,0.05
388,0.7,-1.35,1,-5.84,0.16,0.35,-0.19
389,0.97,-2.34,1.87,-5.98,-0.18,1.28,-0.39
390,1.14,-3.07,3.31,-6,0.63,-1.2,0.54
391,1.2,-3.58,4.53,-6.16,0.67,-3.79,1.11
392,0.87,-3.72,4.78,-6.15,0.69,-5.86,1.07
393,0.09,-3.82,4.32,-6.21,0.13,-3.51,0.32
394,-0.06,-3.46,1.64,-6.17,-0.99,-1.04,-1.86
395,0.08,-2.81,-0.37,-3.75,-3.11,0.54,-3.36
396,-0.39,-2.32,-1.29,0.14,-2.77,-0.4,-3.79
397,-2,-1.95,-1.34,2.35,-4.86,-1.7,-3.86
398,-3.49,-1.49,-1.98,3.13,-5.07,-4.66,-3.61
399,-4.34,-1.14,-3.41,4.29,-5.8,-4.73,-2.06
400,-4.29,-0.9,-4.43,4.51,-6.9,-1.76,-2.66
401,-3.39,-0.67,-5.53,4.66,-7.85,-1.02,-4.14
402,-1.71,-0.79,-6.22,4.69,-6.52,-0.62,-3.25
403,0.5,-0.93,-5.81,4.74,-4.96,0.65,0.72
404,2.16,-1.27,-4.45,4.72,-2.71,0.23,1.8
405,2.76,-1.85,-2.75,4.76,-2.16,-1.78,2.57
406,3.04,-2.43,-1.96,4.83,-1.28,-3.3,3
407,2.44,-3.15,-1.08,4.91,0.59,-2.25,4.49
